Avg min between sent tnx,Avg min between received tnx,Time Diff between first and last (Mins),Sent tnx,Received Tnx,Number of Created Contracts,max value received ,avg val received,avg val sent,total Ether sent,total ether balance, ERC20 total Ether received, ERC20 total ether sent, ERC20 total Ether sent contract, ERC20 uniq sent addr, ERC20 uniq rec token name,FLAG
10154.24,5026.86,1009090.55,87,25,0,40.136798,10.501527,3.933071,342.1772031,-79.63904036,132059.1029,98179.89698,0,15,29,0
20.41,0,102.07,5,1,0,101,101,20.199496,100.99748,0.00252,0,0,0,0,0,0
0,8831.65,291444.58,0,33,1,23.462797,1.402192,0,0,46.27232361,0.527787122,0,0,0,1,0
0,0,169.87,1,1,0,0.449477,0.449477,0.447277,0.44727692,0.0022,0,0,0,0,0,0
408.32,170321.78,341868.53,3,2,0,0.46,0.23,0.280059,0.840176274,-0.380176274,0,0,0,0,0,0
5801.32,3041.25,614761.98,85,40,0,200,18.64848,8.995439,764.61232,-18.67313494,52442.27417,46941.50389,0,2,20,0
3.6,0,10.8,3,2,0,1563.212697,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,0,7.53,1,1,0,1,1,0.996747,0.99674689,0.00325311,0,0,0,0,0,0
13.67,40512.33,688942,17,17,0,69.995,12.28744,12.28679,208.8754299,0.011052491,0,0,0,0,0,0
129.61,26178.65,288353.97,3,11,0,249.812075,32.977228,240.576616,721.7298479,-358.9803421,0,0,0,0,0,0
0,0,31.28,1,1,0,0.732876,0.732876,0.731616,0.731616,0.00126,0,0,0,0,0,0
5.88,0.42,18.47,3,2,0,1440.815594,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
21.65,0,64.95,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
31239.32,984.92,251884.43,8,2,0,2,1.5,0.34,2.72,0.28,18084.16229,9499,0,1,8,0
997.32,84555.41,342210.95,4,4,0,2.995,1.31125,2.591529,10.36611622,-5.121116224,0,0,0,0,0,0
3.62,0,10.87,3,2,0,1563.488669,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
15.48,0,46.45,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
161.67,0.04,323.42,2,2,0,76.387788,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
5.05,0,20.18,4,2,0,1503.450608,1000.5,500.249528,2000.998113,0.001886545,0,0,0,0,0,0
157.32,0,314.65,2,1,0,101,101,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
36.98,0,73.97,2,1,0,30,30,14.999496,29.998992,0.001008,0,0,0,0,0,0
3.21,0.38,10.38,3,2,0,1092.146496,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
108.58,0.82,327.37,3,2,0,54.018396,50.5,33.666165,100.9984936,0.001506437,0,0,0,0,0,0
0,2336.51,228977.53,0,98,1,1.169411,0.9501,0,0,93.10979582,2.010660203,0,0,0,1,0
26.4,620.61,138977.15,163,217,0,820,314.639235,418.874903,68276.60921,0.104811001,600,0,0,0,1,0
3500.97,14465.72,816620.55,6,55,0,1.001431,0.46172,2.128333,12.77,12.62458564,961.7267601,0,0,0,11,0
2809.83,3186.72,376480.78,58,67,0,49.477281,8.303953,9.990969,579.4761972,-23.1113442,128960.5576,127086.9274,0,13,20,0
19121.43,11.04,267722.13,14,2,0,6.6012,3.74915,0.677948,9.49126836,-1.99296836,0.451704102,0,0,0,3,0
1396.24,1470.58,1150335.93,213,580,0,1.00563,0.316584,0.860486,183.2834952,0.335129226,661.7509099,0,0,0,8,0
0,1426.21,226766.85,0,159,1,1.021547,0.91998,0,0,146.2768721,2.443222682,0,0,0,2,0
0,0,10.93,1,1,0,2.75,2.75,2.74938,2.74938,0.00062,0,0,0,0,0,0
24.47,0,73.42,3,2,0,71.768873,50.5,33.666159,100.998477,0.001523001,0,0,0,0,0,0
1449.95,556.53,520700.2,191,438,0,4.504509,0.696882,1.597554,305.132883,0.101450356,5336.862638,5258.500016,0,1,6,0
5.13,3733.57,127115.7,34,34,0,1.000945,0.385352,0.384883,13.0860197,0.015961896,0,0,0,0,0,0
0,27224.25,353915.25,0,13,1,3.80983,1.33857,0,0,17.40140661,0,0,0,0,0,0
24.86,0.23,75.03,3,2,0,61.439758,50.5,33.666163,100.998488,0.001512,0,0,0,0,0,0
20.87,0,62.6,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
6,37680.11,301482.83,7,8,0,58.753445,9.842931,11.24715,78.73005157,0.01339322,0,0,0,0,0,0
155.16,0,310.32,2,1,0,101,101,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
13.6,0,40.8,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
1.97,1332.65,2669.23,2,2,0,538.205,296.1,296.099456,592.198911,0.001088977,0,0,0,0,0,0
8197.19,3055.47,946931.97,98,47,0,153.99,20.405141,11.861401,1162.417253,-203.3756139,893275.1803,893227.0201,0,20,30,0
0,0,13.88,1,1,0,4.995,4.995,4.98,4.98,0.015,0,0,0,0,0,0
1.97,0,5.9,3,2,0,1561.677382,1000.5,666.99939,2000.998169,0.001830667,0,0,0,0,0,0
161.06,0.63,323.38,2,2,0,89.927808,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
5.95,123984.24,743941.13,6,6,0,8.58,5.843667,5.84204,35.05224153,0.00975847,0,0,0,0,0,0
93612.1,10060.62,992074.2,2,80,0,0.133269,0.098978,3.958433,7.916865339,0.00135,0.590491666,0,0,0,1,0
72100,10243.09,1019244.7,13,8,0,306,131.189784,80.696,1049.048,0.47027113,25663.33033,5836.970119,0,1,20,0
163.02,0.94,327.92,2,2,0,68.219188,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
162.38,0.63,326.03,2,2,0,52.80165,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
132551.76,47103.98,936622.48,6,3,0,5,2.744752,2.171335,13.02800825,-4.793751,7557251.085,24683.49502,0,3,6,0
0,19247.54,250218.08,0,13,1,1.000578,0.452745,0,0,5.88569015,0.707816805,0,0,0,2,0
159.83,0.92,321.5,2,2,0,86.757647,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
22.05,21.34,232149.93,8901,7835,0,8770.13158,3647.937469,3210.983135,28580960.89,629.1782661,7790615.151,0,0,0,29,0
160.19,0.15,320.68,2,2,0,64.903332,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,4097.93,192602.83,0,47,1,52.4624,11.885895,0,0,558.6370505,5.761324514,0,0,0,2,0
152.67,0,305.33,2,1,0,101,101,50.499286,100.9985715,0.001428506,0,0,0,0,0,0
0,0,20.93,1,1,0,2.39451,2.39451,2.394006,2.39400649,0.000504,0,0,0,0,0,0
22.91,0,68.72,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
6.38,2935.83,205942,68,70,0,14.583474,2.018109,2.077035,141.2383911,0.029244115,0,0,0,0,0,0
0,0,1.32,1,1,0,0.70724,0.70724,0.7064,0.70640002,0.00084,0,0,0,0,0,0
162.63,0.43,326.13,2,2,0,79.404769,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
71.83,27.81,511631.95,5304,4698,0,7000,81.983698,214.505344,1137736.345,-752576.9329,1082.047004,0,0,0,4,0
3.59,0,10.78,3,2,0,1479.838353,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
26.18,20470.41,81986.35,4,4,0,9.5925,6.236932,6.23386,24.93543903,0.01228876,0,0,0,0,0,0
159.52,0,319.03,2,1,0,101,101,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
2411.88,84822.03,365818.75,11,4,0,1.161912,0.31883,0.112727,1.23999768,0.03532431,463.449346,463.449346,0,4,4,0
3827.27,1074.42,1921036.52,64,1560,0,28.010089,1.994397,47.960507,3069.472425,41.78640022,3443.673581,0,0,0,13,0
22.77,0,68.3,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
484.97,13360.06,237790.27,22,17,0,1.243,0.263426,0.203076,4.46766152,0.01058002,4.609305004,4.609305003,0,3,3,0
16472.66,8727.64,915822.2,45,20,0,10,2.005246,0.911633,41.02347174,-0.918555982,23951.62405,22107.58932,0,9,23,0
0,1995.75,319320.53,0,160,1,1.677726,0.670056,0,0,107.2089593,38.30065663,0,0,0,4,0
1.88,0,5.65,3,2,0,1900.529431,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
367.75,5872.92,868228.45,1259,69,1,370.892142,40.263488,4.987012,6278.647585,-3500.466893,23609743.37,15097095.87,0,18,97,0
0,0,14.38,1,1,0,1.373735,1.373735,1.358735,1.358735,0.015,0,0,0,0,0,0
5487.5,22466.36,705882.98,14,28,0,1.458379,0.653013,0.920945,12.89323437,5.391128874,787.9660948,0,0,0,12,0
2516.11,10216,306025.43,12,27,0,0.529484,0.089581,0.201136,2.41363522,0.00504,0,0,0,0,0,0
0,44163.43,88326.87,0,2,1,509,254.5,0,0,509,0,0,0,0,0,0
0,0,253.25,1,1,0,0.3,0.3,0.29938,0.29938,0.00062,0,0,0,0,0,0
163.85,0,327.7,2,1,0,101,101,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,0,5.95,1,1,0,1.466441,1.466441,1.465969,1.465969144,0.000471636,0,0,0,0,0,0
1.56,0,4.68,3,2,0,1902.37628,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,2762.25,209930.78,0,76,1,1.000888,0.240532,0,0,18.28040267,2.442045431,0,0,0,3,0
0,3801.67,319340.05,0,84,1,5.008505,1.186623,0,0,99.67635547,22.53670109,0,0,0,5,0
161.61,0.94,325.1,2,2,0,78.850629,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,11594.2,208695.6,0,18,1,499.999,68.129553,0,0,1226.331962,0,0,0,0,0,0
136.47,482175.49,964896.88,4,2,0,30,15.061125,7.53027,30.12107962,0.00116968,0,0,0,0,0,0
0,6682.47,547962.18,0,82,1,0.715069,0.219089,0,0,17.96526264,0.692508147,0,0,0,3,0
0,12143.51,291444.33,0,24,1,1.001,0.785615,0,0,18.85476593,1.07304716,0,0,0,2,0
0,2405.98,283905.73,0,118,1,1.125244,0.403462,0,0,47.60848499,0.969261436,0,0,0,1,0
0,1346.79,192590.77,0,143,1,0.697369,0.111189,0,0,15.89998028,1.225226492,0,0,0,2,0
18151.95,29228.1,273204.15,7,5,0,18,7.284753,5.20281,36.41967252,0.004094496,2412.650887,1774.392455,0,1,7,0
21.68,0,65.03,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
1.35,0.68,5.4,3,2,0,1577.692763,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
161.55,0.82,324.73,2,2,0,53.043053,50.5,50.499487,100.9989738,0.001026218,0,0,0,0,0,0
5.71,5707.63,17134.32,2,3,0,2.999559,1.799266,2.697775,5.39554933,0.00224945,0,0,0,0,0,0
0,0,5.8,1,1,0,10,10,9.999528,9.999528364,0.000471636,0,0,0,0,0,0
0,0,39.47,1,1,0,0.225559,0.225559,0.225055,0.22505522,0.000504,0,0,0,0,0,0
4.81,0,19.25,4,2,0,1110.88081,1000.5,500.249528,2000.998113,0.001886545,0,0,0,0,0,0
103.49,0,310.48,3,1,0,101,101,33.666171,100.9985118,0.001488218,0,0,0,0,0,0
160.58,0,321.17,2,1,0,101,101,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
3070.03,35556.84,974378.8,51,23,0,6,1.277459,0.69957,35.67806737,-6.29650084,161926.5824,161364.9444,0,9,14,0
160.38,0.6,321.95,2,2,0,56.240494,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
231.96,112125.71,1010987.1,8,9,0,42.47269,5.425545,6.102275,48.81820087,0.011706884,0,0,0,0,0,0
6.29,0,18.87,3,2,0,1282.681283,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,824.57,226756.63,0,275,1,17.687756,1.30568,0,0,359.061997,5.345209069,0,0,0,2,0
20437.43,47057.88,447735.1,15,3,0,0.5,0.204333,0.120252,1.803776506,-1.190776506,112769.9967,811.9129826,0,1,8,0
15.95,0,63.8,4,1,0,101,101,25.249475,100.9979,0.0021,0,0,0,0,0,0
0,0,96.47,1,1,0,1.116753,1.116753,1.114553,1.11455294,0.0022,0,0,0,0,0,0
0,3396.11,244519.93,0,72,1,1.00414,0.839403,0,0,60.43698417,7.220323818,0,0,0,4,0
0.93,1748.94,111991.72,64,64,0,0.223954,0.201675,0.200835,12.85341676,0.05376,0,0,0,0,0,0
0,2426.58,283910.03,0,117,1,1.249528,0.854269,0,0,99.94944496,4.367417237,0,0,0,4,0
0,191,310191.97,0,1624,0,0,0,0,0,0,1.40E-10,1.40E-10,0,1,1,0
17.24,1420.14,293206.6,203,204,0,29.007461,10.766147,10.815768,2195.600877,0.6931342,0,0,0,0,0,0
3294.21,5448.4,1007930.98,129,107,0,716,43.940834,35.926786,4634.55541,67.11380848,13662312.15,12640855.43,0,36,65,0
0,0,24.2,1,1,0,0.01,0.01,0.009418,0.009418468,0.000581532,0,0,0,0,0,0
0,0,3.73,1,1,0,0.180717,0.180717,0.179795,0.179795396,0.000921794,0,0,0,0,0,0
0,0,74.32,1,1,0,2.2,2.2,2.199496,2.199496,0.000504,0,0,0,0,0,0
159.96,0.6,321.12,2,2,0,81.198633,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
3.23,0,9.68,3,2,0,1366.695336,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
134.97,8427.96,898837.57,103,105,0,1.395217,1.024937,1.042574,107.385162,0.23326833,8.02E-09,0,0,0,2,0
0,0,0,0,1,0,1.844472,1.844472,0,0,1.84447207,343.1194733,0,0,0,6,0
28424.74,23213.4,663716.47,16,9,0,3.638719,0.711047,0.398909,6.38254529,0.01688182,1466.858839,638.6908112,0,2,17,0
329.02,1898.84,95469.27,42,43,0,0.426663,0.106772,0.108894,4.57354835,0.017661,0,0,0,0,0,0
0,3309.56,52953.02,0,16,1,208.57,75.747587,0,0,1211.9614,0,0,0,0,0,0
11.52,8965.07,314180.58,35,35,0,0.049871,0.047967,0.047499,1.662474332,0.016355725,0,0,0,0,0,0
163.93,0,327.87,2,1,0,101,101,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
22.18,0,66.55,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
1363.42,1856.04,790629.43,34,401,0,9.358682,2.768859,32.655689,1110.293427,0.018856844,312938.7241,2.626935318,0,1,17,0
0,0,10.03,0,1,1,2.445368,2.445368,0,0,2.44536818,0,0,0,0,0,0
0,6436.01,585677.32,0,91,1,10.14,0.304631,0,0,27.72145346,5.854699718,0,0,0,5,0
0,0,21.48,1,1,0,1.09336,1.09336,1.092856,1.09285551,0.000504,0,0,0,0,0,0
131125.24,56578.38,658299.15,2,7,0,158,23.718381,0.7505,1.501,164.5276673,5308.870219,0,0,0,14,0
3037.03,12801.65,76156.38,4,5,0,3.52,1.125,1.405809,5.623236,0.001764,0,0,0,0,0,0
0,1647.44,228994.25,0,139,1,2.158244,1.087885,0,0,151.2160301,3.354770892,0,0,0,2,0
0,4049.26,226758.45,0,56,1,0.948767,0.535253,0,0,29.9741884,1.525076004,0,0,0,2,0
0,5931.59,338100.62,0,57,1,1.001188,0.453275,0,0,25.83669695,0.50507242,0,0,0,3,0
5.22,0,15.67,3,2,0,1053.461141,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,0,3.73,1,1,0,0.269876,0.269876,0.269404,0.269403924,0.000471636,0,0,0,0,0,0
0,0,14.03,1,1,0,10.172054,10.172054,10.17155,10.17154968,0.000504,0,0,0,0,0,0
23.86,0.49,72.55,3,2,0,59.585154,50.5,33.665992,100.9979759,0.002024127,0,0,0,0,0,0
0,0,71.75,1,1,0,10,10,9.9978,9.9978,0.0022,0,0,0,0,0,0
276.53,2096.14,203015.42,105,83,0,206.387437,36.757033,29.054867,3050.761021,0.072752844,58970.28387,58970.28387,0,29,3,0
166.16,0.21,332.73,2,2,0,66.568311,50.5,50.499487,100.9989738,0.001026218,0,0,0,0,0,0
0,0,2.8,1,1,0,64.867547,64.867547,64.866707,64.866707,0.00084,0,0,0,0,0,0
106.06,7808.66,791365.95,99,100,0,3,1.048997,1.058727,104.8139938,0.08573712,0,0,0,0,0,0
80.35,0.84,323.08,4,2,0,66.365314,50.5,25.249508,100.9980316,0.001968437,0,0,0,0,0,0
165.27,0.7,331.93,2,2,0,96.191037,50.5,50.499487,100.9989738,0.001026218,0,0,0,0,0,0
0,7559.25,226777.48,0,30,1,1.003153,0.893621,0,0,26.80862106,0.980517247,0,0,0,1,0
0,0,48.88,1,1,0,0.2955,0.2955,0.294453,0.294453043,0.001046957,0,0,0,0,0,0
23.84,0.18,71.9,3,2,0,87.561705,50.5,33.666151,100.9984519,0.001548055,0,0,0,0,0,0
0,0,1.58,1,1,0,0.329405,0.329405,0.32886,0.328860356,0.000544754,0,0,0,0,0,0
18.32,0,54.97,3,1,0,101,101,33.666149,100.998446,0.001554,0,0,0,0,0,0
0,8540.11,204962.67,0,24,1,300,54.274167,0,0,1302.58,616.3971547,0,0,0,4,0
19815.22,106764.47,917999.92,14,6,0,1.57814,0.68577,0.461588,6.462237,-2.34761718,0,0,0,0,0,0
8521.89,7446.07,681582.07,66,16,0,20,7.203399,1.745379,115.195,0.0593787,1845518.275,1651170.193,0,14,27,0
23.55,0.44,71.53,3,2,0,85.61593,50.5,33.666148,100.9984444,0.001555573,0,0,0,0,0,0
1.24,0.07,3.87,3,2,0,1037.13715,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
32184.54,45861.57,417584.63,3,7,0,302.7,51.506429,120.180701,360.542102,0.002898,9166.382878,0,0,0,11,0
157.73,0,315.47,2,1,0,101,101,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
26.52,0,53.03,2,1,0,101,101,50.499475,100.99895,0.00105,0,0,0,0,0,0
161.55,0.63,324.37,2,2,0,53.544593,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
0,0,12.82,1,1,0,0.142549,0.142549,0.141929,0.14192875,0.00062,0,0,0,0,0,0
1.12,0.07,3.52,3,2,0,1039.229065,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
3.62,0,10.87,3,2,0,1507.464496,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
0,3420.64,283913.38,0,83,1,1.005665,0.801673,0,0,66.53886848,1.816217033,0,0,0,2,0
0,0,5.8,1,1,0,0.1094,0.1094,0.108614,0.10861394,0.00078606,0,0,0,0,0,0
305.22,264489.01,794993.12,5,3,0,13.04,4.373274,2.623575,13.11787617,0.00194664,0,0,0,0,0,0
1.03,12437.77,199020.9,16,16,0,4.79958,1.703401,1.702504,27.24006672,0.0143572,0,0,0,0,0,0
39172.64,52599.21,341341.32,2,5,0,0.52057,0.119699,0.298903,0.59780523,0.000691,0.0447812,0,0,0,1,0
163.19,0.37,327.12,2,2,0,62.746304,50.5,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
29673.5,9589.24,710352.4,22,6,0,5.838246,2.079205,0.560875,12.33924,0.1359874,127361.4365,104367.9083,0,7,19,0
0,0,57.7,1,1,0,6,6,5.998953,5.998953043,0.001046957,0,0,0,0,0,0
95997.34,24287.63,889416.88,8,5,0,9.116984,3.845298,2.376145,19.00916063,0.217331427,12013.59284,2925.806,0,2,17,0
570.27,80707.17,323969.2,2,4,0,0.995,0.4095,0.5,1,0.638,24681.71513,0,0,0,25,0
8252.81,13955.93,801929.58,16,48,0,56.671765,6.404237,19.212001,307.3920092,0.011364502,601.0665275,1.06652749,0,1,2,0
0,1619.66,226752.87,0,140,1,4.24027,1.687324,0,0,236.2253748,3.884870478,0,0,0,2,0
4559.52,11437.51,755957.72,73,37,0,200,32.229119,16.534022,1206.983613,-14.50622072,636725.1577,359931.564,0,12,28,0
1.24,0.07,3.87,3,2,0,1037.19711,1000.5,666.999528,2000.998585,0.001414909,0,0,0,0,0,0
5217.07,5819.92,994303.05,127,57,0,26,5.386577,2.648994,336.4221974,-29.38729011,712018.2797,438852.9105,0,20,58,0
2.48,3660.15,14650.52,4,4,0,77.984979,31.887495,31.886743,127.5469736,0.003005425,0,0,0,0,0,0
0,3067.91,518476.32,0,169,1,7,0.233656,0,0,39.48784328,1.960334547,0,0,0,2,0
27805.31,46509.98,955991.27,21,8,0,10,2.663289,1.29619,27.22,-5.9136894,2971.184379,2559.591034,0,7,13,0
1073.76,1476.59,24563.1,16,5,0,6.999559,3.062821,0.955726,15.29161136,0.022491225,241.2011022,241.2011022,0,3,3,0
4.14,8490.96,16990.2,2,2,0,0.809245,0.433439,0.432594,0.865188098,0.001689062,0,0,0,0,0,0
24.9,0,323.72,13,1,0,101,101,7.768726,100.9934402,0.00655978,0,0,0,0,0,0
0,2606.57,226771.23,0,87,1,1.008521,0.940666,0,0,81.8379298,3.721844893,0,0,0,3,0
160.51,0,321.02,2,1,0,101,101,50.499508,100.9990158,0.000984218,0,0,0,0,0,0
